,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
187,AB5,Ho1Al0.5Ni4.5,0.9,24.1,0.0,22.0,113.92932873866395,53.56326979436215,3.980863568144799,0.6645244541648647,
188,AB5,HoAlNi4,0.9,35.9,60.0,4.0,119.28513933633263,0.8735436685088609,-0.1351971580887964,0.6407150344168949,
189,AB5,LaFeCuNi3,1.1,37.2,22.0,0.33,116.82001065830433,0.3843782982703401,-0.9561280595922448,0.7988239968355615,
190,AB5,La1Al0.75Ni4.25,1.13,44.1,40.0,0.054,116.55995156332943,0.023030464176958,-3.7709374100353297,0.7721262979397014,
191,AB5,La1Co0.5Ni4.25Sn0.25,1.4,42.5,25.0,0.5,136.78276260434544,0.4999999999999995,-0.6931471805599462,1.0505796838610921,
192,AB5,La1Ni4.4B0.6,0.62,33.5,25.0,0.3,102.34952923495604,0.3000000000000001,-1.2039728043259357,0.4163689853946319,
193,AB5,La1Zn0.6Ni4.4,1.4,34.8,20.0,0.3,108.70053640810626,0.3811632328179493,-0.9645275630134316,1.0245328816392456,
194,AB5,La1Al0.5Ni4.5,1.4,44.4,25.0,0.3,138.9083083729738,0.2999999999999997,-1.203972804325937,0.9778485352809706,
195,AB5,La1Mn0.3Al0.3Ni4.5,1.3,39.3,35.0,0.2,114.15416854965412,0.1195610368932282,-2.123928269027658,0.9159572401867,
196,AB5,La1Si0.5Ni4.5,1.0,36.5,25.0,0.5,116.65866399626226,0.5000000000000004,-0.6931471805599444,0.6965630511463845,
197,AB5,La1Mn0.2Al0.15Ni4.65,1.5,38.8,20.0,0.6,128.10836397135552,0.7835989436988505,-0.2438579409233152,1.0748142267695995,
198,AB5,La1Al0.4Ni4.6,1.38,36.4,48.0,0.64,109.63217283167,0.2235925932600667,-1.4979296632048154,0.9710208903825168,
199,AB5,La1Mn0.1Cu0.3Ni4.6,1.4,32.0,35.0,1.0,103.8455297744605,0.6577545473633537,-0.4189234455723626,1.0176092951787998,
200,AB5,La1Ga0.4Ni4.6,,35.0,20.0,0.3,109.38278099278986,0.3816881210296787,-0.963151440936924,,
201,AB5,La1Ni4.6Ge0.4,1.2,34.3,30.0,0.78,111.07956035693276,0.6208404169325338,-0.4766812076374082,0.8795046711329607,
202,AB5,La1In0.4Ni4.6,1.2,39.8,20.0,0.05,110.85967790827884,0.0657507645188483,-2.721883980328771,0.9133858484351906,
203,AB5,La1Mn0.4Ni4.6,1.49,39.4,25.0,0.15,116.37529032999409,0.1499999999999999,-1.8971199848858813,1.0775582446978498,
204,AB5,La1Si0.4Ni4.6,1.0,35.6,30.0,0.67,114.103979557958,0.5286931105252956,-0.6373471467972733,0.7016750006680562,
205,AB5,La1Ni4.6Sn0.4,1.26,38.5,20.0,0.08,110.33277301196148,0.104264416032267,-2.2608251445803407,0.9629226377354668,
206,AB5,La1Al0.25Ni4.75,1.2,33.7,35.0,1.2,110.8781739560412,0.7719332496925363,-0.2588571968244381,0.8523803592514941,
207,AB5,La1Al0.3Ni4.7,1.44,34.0,25.0,0.42,106.82402112665068,0.4199999999999999,-0.8675005677047233,1.0215167738771642,
208,AB5,La1Mn0.3Ni4.7,1.4,36.2,20.0,0.9,122.61028574823212,1.1545579924276814,0.1437175801902413,1.0124283099973703,
209,AB5,La1Si0.3Ni4.7,1.1,33.8,25.0,1.0,113.36575549220191,1.0,0.0,0.7782517580956659,
210,AB5,La1In0.15Ni4.85,,31.8,30.0,0.78,102.83281782023477,0.6312539077578454,-0.4600471079042507,,
211,AB5,La1Ni4.8Sn0.2,1.4,32.8,25.0,0.47,103.73436124324292,0.47,-0.7550225842780328,1.0432532069341145,
212,AB5,La1In0.07Ni4.93,,35.2,30.0,1.37,118.73152146264556,1.083940070093133,0.0806026155971894,,
213,AB5,La1Ni4.95Sn0.05,1.3,32.0,100.0,14.0,107.69794047981097,1.0454338668516792,0.0444319828420398,0.948148164900318,
214,AB5,La1Al0.1Ni4.9,1.4,33.0,35.0,1.5,110.46180395767584,0.97379964952477,-0.0265496951383352,1.0076282864266395,
