Composition_Formula Ef
K2H4Pb 0.032760701609
K2HgH4 0.0292217166139
K2CuH4 -0.00667352839096
K2TiH4 -0.135102516075
K2H4Ru -0.0672743126767
K2H4Ir -0.199638101248
K2HfH4 -0.0676300219624
K2SnH4 0.00969375777316
K2CdH4 -0.0856919226767
Rb2HgH4 0.0444251851853
Cs2MoH4 0.181983327323
Cs2FeH4 0.0962366344662
Cs2VH4 -0.0211987555338
Cs2CrH4 -0.011930148391
Cs2NiH4 -0.022349738391
Cs2AgH4 0.0505100162519
Cs2ZrH4 -0.0570481512481
Cs2H4Pb 0.0170182987519
Cs2CoH4 0.0448391730376
Cs2HgH4 0.0307237323281
Cs2CuH4 0.0400020630376
Cs2TiH4 -0.0685447803604
Cs2H4Ru 0.0402878887519
Cs2H4Ir -0.10822462982
Cs2HfH4 -0.00975565767667
Cs2SnH4 0.0102931820589
Cs2CdH4 -0.0728365026767
Cs2MnH4 0.0103336739243
Rb2NiH4 -0.0365578369624
Rb2CdH4 -0.071718518391
Rb2MnH4 0.000368109638599
Rb2CoH4 0.0201743344662
Rb2MoH4 0.155593244466
Rb2FeH4 0.0776261001805
Rb2VH4 -0.046201798391
Rb2AgH4 0.0468132619662
Rb2ZrH4 -0.0716538755338
Rb2H4Pb 0.0290539601805
Rb2CuH4 0.0397003244662
Rb2TiH4 -0.0909483932176
Rb2H4Ru 0.00520579160904
Rb2H4Ir -0.13589376982
Rb2HfH4 -0.020767343391
Rb2SnH4 0.0131991477732
Hf5HPb3 -0.0492926274649
Zr5Sn3H -0.569314584749
Zr5Al3H -0.405364435243
Hf5Al3H -0.330018776354
CdGa2H2 0.278322443126
YCu2H2 -0.226105049874
ZnCu2H2 0.222537079126
EuMgNiH4 -0.479207987558
BaGaSnH -0.525074801009
CaGaSnH -0.401850353509
La2AlNi9H -0.355762763245
Zr6Al2CoH10 -0.439236789307
LiMgAl3H12 -0.0634517026692
LiMg4H13Os2 -0.341031279253
CeAlH2Ir -0.644247694374
La2AlNi9H2 -0.343050085312
Ca4Mg4Fe3H22 -0.418648694385
Yb4Mg4Fe3H22 -0.449098054082
LiMg10AlH24 -0.172684451225
Ce2Zn2Sn2H3 -0.426038297806
CaMgNiH4 -0.415600717558
SrMgNiH4 -0.427891073986
YbMgNiH4 -0.440760191843
K2LiAlH6 -0.275248957811
LiMgAlH6 -0.179344144326
LiMgH6Ir -0.403498361919
Na2Mg2NiH6 -0.258485873467
LaMg2NiH7 -0.363795671125
LiMg2H7Ru -0.345628420329
La2MgNi2H8 -0.445726538203
BaMg2FeH8 -0.374766144651
BaMg2H8Ru -0.413625417151
BaMg2H8Os -0.410794216734
Zr6Al7Cu16H9 -0.315916391833
BaNaH3Pd -0.432754302901
NaCaH6Ir -0.555633321551
BaNaH6Ir -0.525746609329
K2NaAlH6 -0.251567716396
K6Na15Tl18H -0.152709497124
KNa2AlH6 -0.0388356989808
Na2LiAlH6 -0.242638669481
Nd2Fe15Co2H3 -0.0248666430251
Zr6Al2NiH10 -0.450631684307
LaNiSnH -0.636500347884
LaNiSnH2 -0.598484606744
NdNiSnH -0.626763591009
NdNiSnH2 -0.556356967244
CeNiSnH -0.598108864134
CeNiSnH2 -0.557389538744
Zr6NiSn2H10 -0.472742402134
La2AlNi9H12 -0.0834460585921
PrNiSnH -0.614691353509
PrNiSnH2 -0.558747291744
SrMg2FeH8 -0.378715997984
SrGaSnH -0.477398701009
YMgNi4H4 -0.21352446129
Cs2TlInH6 0.0026935071895
Rb2AlInH6 -0.0704808913105
Cs2NaGaH6 -0.133949188896
Cs2TlGaH6 -0.0250787793105
Cs2AlGaH6 -0.0693193448105
Rb2AlTlH6 -0.0998866378105
Cs2AlInH6 -0.0842366573105
Cs2NaInH6 -0.113797526396
Cs2AlTlH6 -0.115551566811
Cs2NaAlH6 -0.235663492396
