,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
121,AlCoCrFeMoNi,AlCoCrFe2Mo0.5Ni,AC,SS+IM,BCC+σ,6,2,"H, W",[42],3d_Transition_Metal_Alloy_Family
122,AlCoCrFeMoNi,AlCoCr1.5FeMo0.5Ni,AC,IM,B2+σ,6,2,H,[41],3d_Transition_Metal_Alloy_Family
123,AlCoCrFeMoNi,AlCoCr2FeMo0.5Ni,AC,IM,B2+σ,6,2,H,[41],3d_Transition_Metal_Alloy_Family
124,AlCoCrFeMoNi,AlCo1.5CrFeMo0.5Ni,AC,SS+IM,BCC+B2+σ,6,3,H,[40],3d_Transition_Metal_Alloy_Family
125,AlCoCrFeMoNi,AlCo2CrFeMo0.5Ni,AC,SS+IM,BCC+FCC+σ,6,3,H,[40],3d_Transition_Metal_Alloy_Family
126,AlCoCrFeNbNi,AlCoCrFeNb0.1Ni,AC,SS,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
127,AlCoCrFeNbNi,AlCoCrFeNb0.25Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
128,AlCoCrFeNbNi,AlCoCrFeNb0.5Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
129,AlCoCrFeNbNi,AlCoCrFeNb0.75Ni,AC,SS+IM,BCC+C14,6,2,"H, M, MAG",[44],3d_Transition_Metal_Alloy_Family
130,AlCoCrFeNi,Al0.1CoCrFeNi,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
131,AlCoCrFeNi,Al0.25CoCrFeNi,AC,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
132,AlCoCrFeNi,Al0.3CoCrFeNi,AC,SS,FCC+L12,5,2,MT,[49],3d_Transition_Metal_Alloy_Family
133,AlCoCrFeNi,Al0.3CoCr2FeNi,AC+700C/20h,SS+IM,BCC+FCC+σ,5,3,H,[37],3d_Transition_Metal_Alloy_Family
134,AlCoCrFeNi,Al0.375CoCrFeNi,AC,SS,FCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
135,AlCoCrFeNi,Al0.4CoCrFeNi,AC,SS,FCC,5,1,H,[46],3d_Transition_Metal_Alloy_Family
136,AlCoCrFeNi,Al0.44CoCrFeNi,AC,SS+IM,FCC+B2+Unk,5,3,OX,[50],3d_Transition_Metal_Alloy_Family
137,AlCoCrFeNi,Al0.5CoCrFeNi,AC,SS,2FCC,5,2,OX,[24],3d_Transition_Metal_Alloy_Family
138,AlCoCrFeNi,Al0.7CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[46],3d_Transition_Metal_Alloy_Family
139,AlCoCrFeNi,Al0.75CoCrFeNi,AC+1100C/24h/WQ,SS,FCC+B2,5,2,"CTE, D, R",[48],3d_Transition_Metal_Alloy_Family
140,AlCoCrFeNi,Al0.8CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5,3,H,[46],3d_Transition_Metal_Alloy_Family
141,AlCoCrFeNi,Al0.875CoCrFeNi,AC,SS,BCC,5,1,H,[47],3d_Transition_Metal_Alloy_Family
