,Composition_Formula,GBTPredict
624,AlTiCuZr,2.0
625,AlTiCuNb,2.0
626,AlTiCuMo,2.0
627,AlTiCuPd,2.0
628,AlTiCuHf,1.0
629,AlTiCuTa,1.0
630,AlTiZnZr,2.0
631,AlTiZnNb,1.0
632,AlTiZnMo,1.0
633,AlTiZnPd,1.0
634,AlTiZnHf,1.0
635,AlTiZnTa,1.0
636,AlTiZrNb,1.0
637,AlTiZrMo,1.0
638,AlTiZrPd,2.0
639,AlTiZrHf,1.0
640,AlTiZrTa,1.0
641,AlTiNbMo,1.0
642,AlTiNbPd,1.0
643,AlTiNbHf,1.0
644,AlTiNbTa,1.0
645,AlTiMoPd,1.0
646,AlTiMoHf,1.0
647,AlTiMoTa,1.0
648,AlTiPdHf,1.0
649,AlTiPdTa,1.0
650,AlTiHfTa,1.0
651,AlVCrMn,1.0
652,AlVCrFe,2.0
653,AlVCrCo,2.0
654,AlVCrNi,2.0
655,AlVCrCu,2.0
656,AlVCrZn,2.0
657,AlVCrZr,0.0
658,AlVCrNb,2.0
659,AlVCrMo,0.0
660,AlVCrPd,2.0
661,AlVCrHf,1.0
662,AlVCrTa,1.0
663,AlVMnFe,1.0
664,AlVMnCo,2.0
665,AlVMnNi,2.0
666,AlVMnCu,2.0
667,AlVMnZn,2.0
668,AlVMnZr,0.0
669,AlVMnNb,1.0
670,AlVMnMo,1.0
671,AlVMnPd,2.0
672,AlVMnHf,1.0
673,AlVMnTa,1.0
674,AlVFeCo,2.0
675,AlVFeNi,2.0
676,AlVFeCu,2.0
677,AlVFeZn,2.0
678,AlVFeZr,0.0
679,AlVFeNb,2.0
680,AlVFeMo,0.0
681,AlVFePd,2.0
682,AlVFeHf,1.0
683,AlVFeTa,1.0
684,AlVCoNi,2.0
685,AlVCoCu,2.0
686,AlVCoZn,1.0
687,AlVCoZr,2.0
688,AlVCoNb,1.0
689,AlVCoMo,2.0
690,AlVCoPd,2.0
691,AlVCoHf,1.0
692,AlVCoTa,1.0
693,AlVNiCu,2.0
694,AlVNiZn,2.0
695,AlVNiZr,2.0
696,AlVNiNb,2.0
697,AlVNiMo,2.0
698,AlVNiPd,2.0
699,AlVNiHf,1.0
700,AlVNiTa,1.0
701,AlVCuZn,1.0
702,AlVCuZr,2.0
703,AlVCuNb,2.0
704,AlVCuMo,2.0
705,AlVCuPd,2.0
706,AlVCuHf,1.0
707,AlVCuTa,1.0
708,AlVZnZr,2.0
709,AlVZnNb,2.0
710,AlVZnMo,1.0
711,AlVZnPd,1.0
712,AlVZnHf,1.0
713,AlVZnTa,1.0
714,AlVZrNb,1.0
715,AlVZrMo,1.0
716,AlVZrPd,2.0
717,AlVZrHf,1.0
718,AlVZrTa,1.0
719,AlVNbMo,1.0
720,AlVNbPd,2.0
721,AlVNbHf,1.0
722,AlVNbTa,1.0
723,AlVMoPd,1.0
724,AlVMoHf,1.0
725,AlVMoTa,1.0
726,AlVPdHf,1.0
727,AlVPdTa,1.0
728,AlVHfTa,1.0
729,AlCrMnFe,1.0
730,AlCrMnCo,1.0
731,AlCrMnNi,2.0
732,AlCrMnCu,2.0
733,AlCrMnZn,2.0
734,AlCrMnZr,2.0
735,AlCrMnNb,2.0
736,AlCrMnMo,2.0
737,AlCrMnPd,2.0
738,AlCrMnHf,1.0
739,AlCrMnTa,1.0
740,AlCrFeCo,2.0
741,AlCrFeNi,2.0
742,AlCrFeCu,2.0
743,AlCrFeZn,2.0
744,AlCrFeZr,2.0
745,AlCrFeNb,2.0
746,AlCrFeMo,0.0
747,AlCrFePd,2.0
748,AlCrFeHf,1.0
749,AlCrFeTa,1.0
750,AlCrCoNi,2.0
